,id,price,builtArea,pricePerBuiltSqm,stratum,administrationFee,floor,isDuplex,privateArea,rooms,toilets,parkingSpaces,hasServiceRoom,hasServiceToilet,hasLaundryZone,hasDeposit,hasStudy,isExterior,hasTerrace,terraceArea,hasCommunalHall,hasTennisCourt,hasSoccerField,hasKidsPlayZone,hasGreenZones,isResidentialComplex,hasConcierge,hasVisitorParking,hasPool,long,lat,geometry
4685,7f2a2b3f-069a-4d0e-953a-8c1c5286f3c9,1100000000,264.0,4166666.6666666665,6.0,1600000.0,7.125251846877099,False,264.0,3,5,2.0,True,False,True,False,False,False,False,28.139204545454547,False,False,False,False,True,True,True,False,True,-75.56224,6.20793,POINT (-75.56224 6.20793)
4686,7f3375d0-5f9c-4560-8676-ef30a923044e,210000000,65.0,3230769.230769231,3.0,2718437.97185619,2.0,False,65.0,2,2,1.0,False,False,False,False,False,False,False,28.139204545454547,True,False,False,True,True,True,True,True,True,-75.60336,6.2050123,POINT (-75.60336 6.2050123)
4687,7f41a676-5970-4060-9f79-1f24e1310a18,950000000,113.0,8407079.646017699,6.0,600000.0,19.0,False,113.0,3,3,2.0,False,False,True,True,True,True,False,28.139204545454547,True,False,False,False,True,True,True,False,True,-75.57054,6.203287,POINT (-75.57054 6.203287)
4688,7f4641d7-9a3a-42b4-877a-7ad4f299b012,1700000000,293.0,5802047.781569966,5.0,697000.0,7.125251846877099,False,100.0,2,4,2.0,True,False,True,False,True,False,True,28.139204545454547,True,False,False,True,True,False,True,False,False,-75.5587,6.206377,POINT (-75.5587 6.206377)
4689,7f49a701-88bd-439f-b1bb-ccd6aa3171aa,398000000,80.0,4975000.0,5.0,272000.0,12.0,False,80.0,3,2,1.0,False,False,True,True,False,True,False,28.139204545454547,True,False,False,True,True,True,True,False,True,-75.5881,6.2592993,POINT (-75.5881 6.2592993)
4690,7f4cbc91-7042-4b07-90e5-4b199a5e93e6,220000000,57.0,3859649.1228070175,4.0,192195.0,18.0,False,55.0,3,2,1.0,False,False,True,True,False,False,False,28.139204545454547,True,False,False,True,True,True,True,False,False,-75.61303,6.261971,POINT (-75.61303 6.261971)
4691,7f52b8da-af7e-45e2-9195-a242d8911d43,890000000,270.0,3296296.296296296,6.0,919000.0,7.0,False,270.0,4,5,3.0,True,False,True,True,True,True,False,28.139204545454547,True,False,False,True,True,True,True,False,True,-75.56758,6.189038,POINT (-75.56758 6.189038)
4692,7f60fb65-f38a-44f2-bf81-e4ad2ac05ebf,299000000,90.0,3322222.222222222,3.0,50000.0,4.0,False,90.0,2,3,1.0,False,False,True,False,False,False,False,28.139204545454547,False,False,False,False,False,False,False,False,False,-75.61105,6.2524257,POINT (-75.61105 6.2524257)
4693,7f6701a4-2150-4af4-b15e-703d71f34501,518000000,87.0,5954022.988505747,6.0,2718437.97185619,8.0,False,87.0,2,2,1.0,False,False,False,True,True,False,False,28.139204545454547,True,False,False,True,True,True,True,True,True,-75.56137,6.22034,POINT (-75.56137 6.22034)
4694,7f6a2d15-5603-47ad-a49e-390de2ddd68a,600000000,183.0,3278688.524590164,6.0,572800.0,2.0,False,183.0,4,3,2.0,True,False,True,False,False,False,False,28.139204545454547,True,False,False,True,True,True,True,False,True,-75.56735,6.2170587,POINT (-75.56735 6.2170587)
